Word,Sub_Type,Type2,Type3
arbeitenden vielen,arbeitende menschen,advocative,people-centrism
(.*)arbeitend(.*) masse(.*),zzz_none,advocative,people-centrism
arbeiter(innen|in)? (.* )?(die nase|die schnauze|satt|genug|dicke)( .*)? (haben|hat),menschen reicht es,advocative,people-centrism
arbeiter(innen|in)? (haben|hat) (.* )?(die nase|die schnauze|satt|genug|dicke),menschen reicht es,advocative,people-centrism
arbeiter(innen|in)? (ist|sind|wird|werden|war|waren) (.* )?(leid|überdrüssig|müde|mit (ihrer|seiner) geduld am ende),menschen reicht es,advocative,people-centrism
arbeiter(innen|in)? (lassen|lässt) sich (.* )nicht ((länger|weiter|mehr) )?(gefallen|auf sich sitzen|bieten),menschen wehren sich,advocative,people-centrism
arbeiter(innen|in)? (.* )?(leid|überdrüssig|müde|mit (ihrer|seiner) geduld am ende) (ist|sein|wird|werden|war|waren|sein),menschen reicht es,advocative,people-centrism
arbeiter(innen|in)? (.* )?nicht (.* )?(länger|mehr) (hören|sehen) (will|kann|möchte(n)?|wollen|können),menschen reicht es,advocative,people-centrism
arbeiter(innen|in)? (.* )?nicht ((länger|weiter|mehr) )?(gefallen|auf sich sitzen|bieten) (lassen|lässt),menschen wehren sich,advocative,people-centrism
arbeiter(innen|in)? setz(t|en) sich (.* )?zur wehr,menschen wehren sich,advocative,people-centrism
arbeiter(innen|in)? sich (.* )?(wehr|widersetz|verteidig)(t|en),menschen wehren sich,advocative,people-centrism
arbeiter(innen|in)? (.* )?versteh(t|en),common sense,advocative,people-centrism
arbeiter(innen|in)? (wehr|widersetz|verteidig)(t|en) sich,menschen wehren sich,advocative,people-centrism
arbeiter(innen|in)? (.* )?(wei(ß|ss)|wissen),common sense,advocative,people-centrism
arbeiter(innen|in)? (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht),volkswille,advocative,sovereignty
arbeiter(innen|in)? (will|kann|möchte(n)?|wollen|können) (.* )?nicht (.* )?(länger|mehr) (hören|sehen),menschen reicht es,advocative,people-centrism
arbeiter(innen|in)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty
arbeiter(innen|in)? (.* )?zur wehr setz(t|en),menschen wehren sich,advocative,people-centrism
arbeiter(innen|in)? (.* )?zwangsbeglück(t|en),den menschen aufzwingen,conflictive,anti-elitism
arbeiter(n|innen|in)? (.* )?aufbürde(t|n),den menschen aufzwingen,conflictive,anti-elitism
arbeiter(n|innen|in)? (.* )?auferleg(t|en),den menschen aufzwingen,conflictive,anti-elitism
arbeiter(n|innen|in)? (.* )?aufhals(t|en),den menschen aufzwingen,conflictive,anti-elitism
arbeiter(n|innen|in)? (.* )?aufnötig(t|en),den menschen aufzwingen,conflictive,anti-elitism
arbeiter(n|innen|in)? (.* )?(auf)?oktroyier(t|en),den menschen aufzwingen,conflictive,anti-elitism
arbeiter(n|innen|in)? (.* )?aufzwing(t|en),den menschen aufzwingen,conflictive,anti-elitism
arbeiter(n|innen|in)? (.* )?bis (hier|da)(hin)? steh(t|en),menschen reicht es,advocative,people-centrism
arbeiter(n|innen|in)? (.* )?diktier(t|en),den menschen aufzwingen,conflictive,anti-elitism
arbeiter(n|innen|in)? häng(t|en) (.* )?zum hals(e)? (her|hin)aus,menschen reicht es,advocative,people-centrism
arbeiter(n|innen|in)? (ist|sind|wird|werden|war|waren) (.* )?zu (bunt|blöd|dumm),menschen reicht es,advocative,people-centrism
arbeiter(n|innen|in)? (langt|reicht) (es|das|dies),menschen reicht es,advocative,people-centrism
arbeiter(n|innen|in)? steh(t|en) (.*) bis (hier|da)(hin)?,menschen reicht es,advocative,people-centrism
arbeiter(n|innen|in)? (.* )?zu (bunt|blöd|dumm) (ist|sein|wird|werden|war|waren|sein),menschen reicht es,advocative,people-centrism
arbeiter(n|innen|in)? (.* )?zum hals(e)? (her|hin)aus häng(t|en),menschen reicht es,advocative,people-centrism
arbeiterschaft (.* )?aufbürde(t|n),den menschen aufzwingen,conflictive,anti-elitism
arbeiterschaft (.* )?auferleg(t|en),den menschen aufzwingen,conflictive,anti-elitism
arbeiterschaft (.* )?aufhals(t|en),den menschen aufzwingen,conflictive,anti-elitism
arbeiterschaft (.* )?aufnötig(t|en),den menschen aufzwingen,conflictive,anti-elitism
arbeiterschaft (.* )?(auf)?oktroyier(t|en),den menschen aufzwingen,conflictive,anti-elitism
arbeiterschaft (.* )?aufzwing(t|en),den menschen aufzwingen,conflictive,anti-elitism
arbeiterschaft (.* )?bis (hier|da)(hin)? steh(t|en),menschen reicht es,advocative,people-centrism
arbeiterschaft (.* )?(die nase|die schnauze|satt|genug|dicke)( .*)? (haben|hat),menschen reicht es,advocative,people-centrism
arbeiterschaft (.* )?diktier(t|en),den menschen aufzwingen,conflictive,anti-elitism
arbeiterschaft (haben|hat) (.* )?(die nase|die schnauze|satt|genug|dicke),menschen reicht es,advocative,people-centrism
arbeiterschaft häng(t|en) (.* )?zum hals(e)? (her|hin)aus,menschen reicht es,advocative,people-centrism
arbeiterschaft (ist|sind|wird|werden|war|waren) (.* )?(leid|überdrüssig|müde|mit (ihrer|seiner) geduld am ende),menschen reicht es,advocative,people-centrism
arbeiterschaft (ist|sind|wird|werden|war|waren) (.* )?zu (bunt|blöd|dumm),menschen reicht es,advocative,people-centrism
arbeiterschaft (langt|reicht) (es|das|dies),menschen reicht es,advocative,people-centrism
arbeiterschaft (lassen|lässt) sich (.* )nicht ((länger|weiter|mehr) )?(gefallen|auf sich sitzen|bieten),menschen wehren sich,advocative,people-centrism
arbeiterschaft (.* )?(leid|überdrüssig|müde|mit (ihrer|seiner) geduld am ende) (ist|sein|wird|werden|war|waren|sein),menschen reicht es,advocative,people-centrism
arbeiterschaft (.* )?nicht (.* )?(länger|mehr) (hören|sehen) (will|kann|möchte(n)?|wollen|können),menschen reicht es,advocative,people-centrism
arbeiterschaft (.* )?nicht ((länger|weiter|mehr) )?(gefallen|auf sich sitzen|bieten) (lassen|lässt),menschen wehren sich,advocative,people-centrism
arbeiterschaft setz(t|en) sich (.* )?zur wehr,menschen wehren sich,advocative,people-centrism
arbeiterschaft sich (.* )?(wehr|widersetz|verteidig)(t|en),menschen wehren sich,advocative,people-centrism
arbeiterschaft steh(t|en) (.*) bis (hier|da)(hin)?,menschen reicht es,advocative,people-centrism
arbeiterschaft (.* )?versteh(t|en),common sense,advocative,people-centrism
arbeiterschaft (von|auf) der stra(ß|ss)e,normale menschen,advocative,people-centrism
arbeiterschaft von nebenan,normale menschen,advocative,people-centrism
arbeiterschaft (wehr|widersetz|verteidig)(t|en) sich,menschen wehren sich,advocative,people-centrism
arbeiterschaft (.* )?wei(ß|ss),common sense,advocative,people-centrism
arbeiterschaft (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht),volkswille,advocative,sovereignty
arbeiterschaft (wille|wunsch|wünsche|anliegen|ansuchen|verlangen),volkswille,advocative,sovereignty
arbeiterschaft (will|kann|möchte(n)?|wollen|können) (.* )?nicht (.* )?(länger|mehr) (hören|sehen),menschen reicht es,advocative,people-centrism
arbeiterschaft (.* )?wissen,common sense,advocative,people-centrism
arbeiterschaft (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty
arbeiterschaft (.* )?zu (bunt|blöd|dumm) (ist|sein|wird|werden|war|waren|sein),menschen reicht es,advocative,people-centrism
arbeiterschaft (.* )?zum hals(e)? (her|hin)aus häng(t|en),menschen reicht es,advocative,people-centrism
arbeiterschaft (.* )?zur wehr setz(t|en),menschen wehren sich,advocative,people-centrism
arbeiterschaft (.* )?zwangsbeglück(t|en),den menschen aufzwingen,conflictive,anti-elitism
arbeiter(s|innen|in)? (wille|wunsch|wünsche|anliegen|ansuchen|verlangen),volkswille,advocative,sovereignty
arbeiter(s|n|innen|in)? (von|auf) der stra(ß|ss)e,normale menschen,advocative,people-centrism
arbeiter(s|n|innen|in)? von nebenan,normale menschen,advocative,people-centrism
arbeitnehmer(innen|in)? (.* )?(die nase|die schnauze|satt|genug|dicke)( .*)? (haben|hat),menschen reicht es,advocative,people-centrism
arbeitnehmer(innen|in)? (haben|hat) (.* )?(die nase|die schnauze|satt|genug|dicke),menschen reicht es,advocative,people-centrism
arbeitnehmer(innen|in)? (ist|sind|wird|werden|war|waren) (.* )?(leid|überdrüssig|müde|mit (ihrer|seiner) geduld am ende),menschen reicht es,advocative,people-centrism
arbeitnehmer(innen|in)? (lassen|lässt) sich (.* )nicht ((länger|weiter|mehr) )?(gefallen|auf sich sitzen|bieten),menschen wehren sich,advocative,people-centrism
arbeitnehmer(innen|in)? (.* )?(leid|überdrüssig|müde|mit (ihrer|seiner) geduld am ende) (ist|sein|wird|werden|war|waren|sein),menschen reicht es,advocative,people-centrism
arbeitnehmer(innen|in)? (.* )?nicht (.* )?(länger|mehr) (hören|sehen) (will|kann|möchte(n)?|wollen|können),menschen reicht es,advocative,people-centrism
arbeitnehmer(innen|in)? (.* )?nicht ((länger|weiter|mehr) )?(gefallen|auf sich sitzen|bieten) (lassen|lässt),menschen wehren sich,advocative,people-centrism
arbeitnehmer(innen|in)? setz(t|en) sich (.* )?zur wehr,menschen wehren sich,advocative,people-centrism
arbeitnehmer(innen|in)? sich (.* )?(wehr|widersetz|verteidig)(t|en),menschen wehren sich,advocative,people-centrism
arbeitnehmer(innen|in)? (.* )?versteh(t|en),common sense,advocative,people-centrism
arbeitnehmer(innen|in)? (wehr|widersetz|verteidig)(t|en) sich,menschen wehren sich,advocative,people-centrism
arbeitnehmer(innen|in)? (will|kann|möchte(n)?|wollen|können) (.* )?nicht (.* )?(länger|mehr) (hören|sehen),menschen reicht es,advocative,people-centrism
arbeitnehmer(innen|in)? (.* )?zur wehr setz(t|en),menschen wehren sich,advocative,people-centrism
arbeitnehmer(innen|in)? (.* )?zwangsbeglück(t|en),den menschen aufzwingen,conflictive,anti-elitism
arbeitnehmer(n|innen|in)? (.* )?aufbürde(t|n),den menschen aufzwingen,conflictive,anti-elitism
arbeitnehmer(n|innen|in)? (.* )?auferleg(t|en),den menschen aufzwingen,conflictive,anti-elitism
arbeitnehmer(n|innen|in)? (.* )?aufhals(t|en),den menschen aufzwingen,conflictive,anti-elitism
arbeitnehmer(n|innen|in)? (.* )?aufnötig(t|en),den menschen aufzwingen,conflictive,anti-elitism
arbeitnehmer(n|innen|in)? (.* )?(auf)?oktroyier(t|en),den menschen aufzwingen,conflictive,anti-elitism
arbeitnehmer(n|innen|in)? (.* )?aufzwing(t|en),den menschen aufzwingen,conflictive,anti-elitism
arbeitnehmer(n|innen|in)? (.* )?bis (hier|da)(hin)? steh(t|en),menschen reicht es,advocative,people-centrism
arbeitnehmer(n|innen|in)? (.* )?diktier(t|en),den menschen aufzwingen,conflictive,anti-elitism
arbeitnehmer(n|innen|in)? häng(t|en) (.* )?zum hals(e)? (her|hin)aus,menschen reicht es,advocative,people-centrism
arbeitnehmer(n|innen|in)? (ist|sind|wird|werden|war|waren) (.* )?zu (bunt|blöd|dumm),menschen reicht es,advocative,people-centrism
arbeitnehmer(n|innen|in)? (langt|reicht) (es|das|dies),menschen reicht es,advocative,people-centrism
arbeitnehmer(n|innen|in)? steh(t|en) (.*) bis (hier|da)(hin)?,menschen reicht es,advocative,people-centrism
arbeitnehmer(n|innen|in)? (.* )?zu (bunt|blöd|dumm) (ist|sein|wird|werden|war|waren|sein),menschen reicht es,advocative,people-centrism
arbeitnehmer(n|innen|in)? (.* )?zum hals(e)? (her|hin)aus häng(t|en),menschen reicht es,advocative,people-centrism
arbeitnehmer(s|innen|in)? (wille|wunsch|wünsche|anliegen|ansuchen|verlangen),volkswille,advocative,sovereignty
arbeitnehmer(s|n|innen|in)? (von|auf) der stra(ß|ss)e,normale menschen,advocative,people-centrism
arbeitnehmer(s|n|innen|in)? von nebenan,normale menschen,advocative,people-centrism
ärger der allgemeinheit,ärger der menschen,conflictive,anti-elitism
ärger der arbeiterschaft,ärger der menschen,conflictive,anti-elitism
ärger der bevölkerung,ärger der menschen,conflictive,anti-elitism
ärger der frau(en)?,ärger der menschen,conflictive,anti-elitism
ärger der (frauen und männer|männer und frauen),ärger der menschen,conflictive,anti-elitism
ärger der landsfrau(en)?,ärger der menschen,conflictive,anti-elitism
ärger der landsleute,ärger der menschen,conflictive,anti-elitism
ärger der leute,ärger der menschen,conflictive,anti-elitism
ärger der masse(n)?,ärger der menschen,conflictive,anti-elitism
ärger der mehrheit,ärger der menschen,conflictive,anti-elitism
ärger der vielen,ärger der menschen,conflictive,anti-elitism
ärger der wählerschaft,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) angestellten,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) arbeiter(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) arbeitnehmer(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) (be|ein)wohner(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) berufstätigen,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) beschäftigten,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) büezer(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) bürger(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) deutschen,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) eidgen(o|ö)ss(en|in|innen),ärger der menschen,conflictive,anti-elitism
ärger de(s|r) erwerbstätigen,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) hackler(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) konsument(en|innen|in)?,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) landsm(a|ä)nn(er|s|es),ärger der menschen,conflictive,anti-elitism
ärger de(s|r) lohnarbeiter(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) m(a|ä)nn(er|s|es),ärger der menschen,conflictive,anti-elitism
ärger de(s|r) malocher(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) menschen,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) mitbürger(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) österreicher(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) schweizer(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) sterblichen,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) steuerpflichtigen,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) steuerzahler(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) stimmbürger(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) urnengänger(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) verbraucher(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) wahlberechtigten,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) wähler(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
ärger de(s|r) werktätigen,ärger der menschen,conflictive,anti-elitism
ärger des volk(s|es),ärger der menschen,conflictive,anti-elitism
ärger des wahlvolk(s|es),ärger der menschen,conflictive,anti-elitism
arglistig(e|er|en) bürokratie,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en) (.*)elite(n)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en|em) bürokrat(en|in|innen)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en|em) expert(e|en|in|innen),unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en|em) fachm(a|ä)nn(er|s|es|e|ern)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en|em) forscher(s|n|innen|in)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en|em) gelehrte(n|r)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en|em) gro(ß|ss)unternehme(r|rs|rn|rin|rinnen|n)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en|em) herrschende(n|r)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en|em) intellektuelle(n|r)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en|em) journalismus,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en|em) journalist(en|in|innen)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en|em) (.*)kapitalist(en|in|innen)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en|em) (.*)konzern(e|es|s|en)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en|em) leistungsträger(s|n|innen|in)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en|em) medienvertreter(s|n|innen|in)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en|em) politiker(s|n|innen|in)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en|em) regent(en|in|innen)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en|em) regierende(n|r)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en|em) souverän(s)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en|em) spezialist(en|in|innen)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en|em) wissenschaft(l)?er(s|n|innen|in)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en) fachfrau(en)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en) fachleute(n)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en) forschung,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en) (.*)medien,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en) multis,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en) partei,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en) parteien,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en) regierung(en)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en) wirtschaft,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|en) wissenschaft(en)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|es|en|em) konglomerat(e|es|s|en)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|er|es|en|em) politiker(s|n|innen|in)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|es|en|em) (.*)establishment(s)?,unaufrichtige eliten,conflictive,anti-elitism
arglistig(e|es|en|em) system(s)?,unaufrichtige eliten,conflictive,anti-elitism
aristokrat(.*),zzz_none,conflictive,anti-elitism
aristokratie,zzz_none,conflictive,anti-elitism
arrogant(e|er|en) bürokratie,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en) (.*)elite(n)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en|em) bürokrat(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en|em) expert(e|en|in|innen),"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en|em) fachm(a|ä)nn(er|s|es|e|ern)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en|em) forscher(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en|em) gelehrte(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en|em) gro(ß|ss)unternehme(r|rs|rn|rin|rinnen|n)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en|em) herrschende(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en|em) intellektuelle(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en|em) journalismus,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en|em) journalist(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en|em) (.*)kapitalist(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en|em) (.*)konzern(e|es|s|en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en|em) leistungsträger(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en|em) medienvertreter(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en|em) politiker(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en|em) regent(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en|em) regierende(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en|em) souverän(s)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en|em) spezialist(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en|em) wissenschaft(l)?er(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en) fachfrau(en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en) fachleute(n)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en) forschung,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en) (.*)medien,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en) multis,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en) partei,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en) parteien,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en) regierung(en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en) wirtschaft,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|en) wissenschaft(en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|es|en|em) konglomerat(e|es|s|en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|er|es|en|em) politiker(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|es|en|em) (.*)establishment(s)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arrogant(e|es|en|em) system(s)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
arschkriecher(.*),zzz_none,conflictive,anti-elitism
(auf)?bürden (.* )?fachleute,diktatorische eliten,conflictive,anti-elitism
(auf)?bürden (.*)medien,diktatorische eliten,conflictive,anti-elitism
(auf)?bürden (.* )?multis,diktatorische eliten,conflictive,anti-elitism
(auf)?bürden (.* )?parteien,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?bürokrat(en|in|innen)?,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?bürokratie,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.*)elite(n)?,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.*)establishment,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?expert(e|en|in|innen),diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?fachfrau(en)?,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?fachm(a|ä)nn(er)?,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?forscher(innen|in)?,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?forschung,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?gelehrte(n|r)?,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?gro(ß|ss)unternehme(r|rin|rinnen|n)?,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?herrschende(n|r)?,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?intellektuelle(n|r)?,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?journalismus,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?journalist(en|in|innen)?,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.*)kapitalist(en|in|innen)?,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?konglomerat(e)?,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.*)konzern(e)?,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?leistungsträger(innen|in)?,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?medienvertreter(innen|in)?,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?partei,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?politiker(innen|in)?,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?regent(en|in|innen)?,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?regierende(n|r)?,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?regierung(en)?,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?souverän,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?spezialist(en|in|innen)?,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?system,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?wirtschaft,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?wissenschaft(en)?,diktatorische eliten,conflictive,anti-elitism
(auf)?bürde(t|n) (.* )?wissenschaft(l)?er(innen|in)?,diktatorische eliten,conflictive,anti-elitism
aufhals(.*),zzz_none,conflictive,sovereignty
aufhalsen,zzz_none,conflictive,sovereignty
(auf)?halsen (.* )?fachleute,diktatorische eliten,conflictive,anti-elitism
(auf)?halsen (.*)medien,diktatorische eliten,conflictive,anti-elitism
(auf)?halsen (.* )?multis,diktatorische eliten,conflictive,anti-elitism
(auf)?halsen (.* )?parteien,diktatorische eliten,conflictive,anti-elitism
aufhals(t|en),den menschen aufzwingen,conflictive,anti-elitism
(auf)?hals(t|en) ,diktatorische eliten,conflictive,anti-elitism
(auf)?hals(t|en) (.* )?bürokrat(en|in|innen)?,diktatorische eliten,conflictive,anti-elitism
(auf)?hals(t|en) (.* )?bürokratie,diktatorische eliten,conflictive,anti-elitism
(auf)?hals(t|en) (.*)elite(n)?,diktatorische eliten,conflictive,anti-elitism
(auf)?hals(t|en) (.*)establishment,diktatorische eliten,conflictive,anti-elitism
(auf)?hals(t|en) (.* )?expert(e|en|in|innen),diktatorische eliten,conflictive,anti-elitism
(auf)?hals(t|en) (.* )?fachfrau(en)?,diktatorische eliten,conflictive,anti-elitism
(auf)?hals(t|en) (.* )?fachm(a|ä)nn(er)?,diktatorische eliten,conflictive,anti-elitism
(auf)?hals(t|en) (.* )?forscher(innen|in)?,diktatorische eliten,conflictive,anti-elitism
(auf)?hals(t|en) (.* )?forschung,diktatorische eliten,conflictive,anti-elitism
(auf)?hals(t|en) (.* )?gelehrte(n|r)?,diktatorische eliten,conflictive,anti-elitism
(auf)?hals(t|en) (.* )?gro(ß|ss)unternehme(r|rin|rinnen|n)?,diktatorische eliten,conflictive,anti-elitism
(auf)?hals(t|en) (.* )?herrschende(n|r)?,diktatorische eliten,conflictive,anti-elitism
(auf)?hals(t|en) (.* )?intellektuelle(n|r)?,diktatorische eliten,conflictive,anti-elitism
(auf)?hals(t|en) (.* )?journalismus,diktatorische eliten,conflictive,anti-elitism
