Word,Sub_Type,Type2,Type3,fear citizens  
arbeiter(innen|in)? sich (.* )?(wehr|widersetz|verteidig)(t|en),menschen wehren sich,advocative,people-centrism,workers resist  
arbeiter(innen|in)? (.* )?versteh(t|en),common sense,advocative,people-centrism,workers understand  
arbeiter(innen|in)? (wehr|widersetz|verteidig)(t|en) sich,menschen wehren sich,advocative,people-centrism,workers defend themselves  
arbeiter(innen|in)? (.* )?(wei(ß|ss)|wissen),common sense,advocative,people-centrism,workers know
arbeiter(innen|in)? (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht),volkswille,advocative,sovereignty,workers demand  
arbeiter(innen|in)? (will|kann|möchte(n)?|wollen|können) (.* )?nicht (.* )?(länger|mehr) (hören|sehen),menschen reicht es,advocative,people-centrism,workers do not want to hear  
arbeiter(innen|in)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty,workers want  
arbeiter(innen|in)? (.* )?zur wehr setz(t|en),menschen wehren sich,advocative,people-centrism,workers defend  
arbeiter(innen|in)? (.* )?zwangsbeglück(t|en),den menschen aufzwingen,conflictive,anti-elitism,workers are forced to be happy
arbeiter(n|innen|in)? (.* )?aufbürde(t|n),den menschen aufzwingen,conflictive,anti-elitism,burdening workers  
arbeiter(n|innen|in)? (.* )?auferleg(t|en),den menschen aufzwingen,conflictive,anti-elitism,imposing workers  
arbeiter(n|innen|in)? (.* )?aufhals(t|en),den menschen aufzwingen,conflictive,anti-elitism,shouldering workers  
arbeiter(n|innen|in)? (.* )?aufnötig(t|en),den menschen aufzwingen,conflictive,anti-elitism,coercing workers  
arbeiter(n|innen|in)? (.* )?(auf)?oktroyier(t|en),den menschen aufzwingen,conflictive,anti-elitism,imposing on workers
arbeiter(n|innen|in)? (.* )?aufzwing(t|en),den menschen aufzwingen,conflictive,anti-elitism,worker enforcement  
arbeiter(n|innen|in)? (.* )?bis (hier|da)(hin)? steh(t|en),menschen reicht es,advocative,people-centrism,worker standing here  
arbeiter(n|innen|in)? (.* )?diktier(t|en),den menschen aufzwingen,conflictive,anti-elitism,worker dictation  
arbeiter(n|innen|in)? häng(t|en) (.* )?zum hals(e)? (her|hin)aus,menschen reicht es,advocative,people-centrism,worker hanging out to the neck  
arbeiter(n|innen|in)? (ist|sind|wird|werden|war|waren) (.* )?zu (bunt|blöd|dumm),menschen reicht es,advocative,people-centrism,worker is too colorful/stupid
arbeiter(n|innen|in)? (langt|reicht) (es|das|dies),menschen reicht es,advocative,people-centrism,worker is enough  
arbeiter(n|innen|in)? steh(t|en) (.*) bis (hier|da)(hin)?,menschen reicht es,advocative,people-centrism,worker is standing until here  
arbeiter(n|innen|in)? (.* )?zu (bunt|blöd|dumm) (ist|sein|wird|werden|war|waren|sein),menschen reicht es,advocative,people-centrism,worker is too colorful  
arbeiter(n|innen|in)? (.* )?zum hals(e)? (her|hin)aus häng(t|en),menschen reicht es,advocative,people-centrism,worker is hanging out of the neck  
arbeiterschaft (.* )?aufbürde(t|n),den menschen aufzwingen,conflictive,anti-elitism,worker community is burdened
arbeiterschaft (.* )?auferleg(t|en),den menschen aufzwingen,conflictive,anti-elitism,working class imposes  
arbeiterschaft (.* )?aufhals(t|en),den menschen aufzwingen,conflictive,anti-elitism,working class burdens  
arbeiterschaft (.* )?aufnötig(t|en),den menschen aufzwingen,conflictive,anti-elitism,working class compels  
arbeiterschaft (.* )?(auf)?oktroyier(t|en),den menschen aufzwingen,conflictive,anti-elitism,working class dictates  
arbeiterschaft (.* )?aufzwing(t|en),den menschen aufzwingen,conflictive,anti-elitism,working class enforces  
arbeiterschaft (.* )?bis (hier|da)(hin)? steh(t|en),menschen reicht es,advocative,people-centrism,working class up to here  
arbeiterschaft (.* )?(die nase|die schnauze|satt|genug|dicke)( .*)? (haben|hat),menschen reicht es,advocative,people-centrism,working class has had enough  
arbeiterschaft (.* )?diktier(t|en),den menschen aufzwingen,conflictive,anti-elitism,working class dictates  
arbeiterschaft (haben|hat) (.* )?(die nase|die schnauze|satt|genug|dicke),menschen reicht es,advocative,people-centrism,working class has had enough  
arbeiterschaft häng(t|en) (.* )?zum hals(e)? (her|hin)aus,menschen reicht es,advocative,people-centrism,working class hangs down to the neck
arbeiterschaft (ist|sind|wird|werden|war|waren) (.* )?(leid|überdrüssig|müde|mit (ihrer|seiner) geduld am ende),menschen reicht es,advocative,people-centrism,working class is tired of  
arbeiterschaft (ist|sind|wird|werden|war|waren) (.* )?zu (bunt|blöd|dumm),menschen reicht es,advocative,people-centrism,working class is too dumb  
arbeiterschaft (langt|reicht) (es|das|dies),menschen reicht es,advocative,people-centrism,working class is enough  
arbeiterschaft (lassen|lässt) sich (.* )nicht ((länger|weiter|mehr) )?(gefallen|auf sich sitzen|bieten),menschen wehren sich,advocative,people-centrism,working class does not tolerate any longer  
arbeiterschaft (.* )?(leid|überdrüssig|müde|mit (ihrer|seiner) geduld am ende) (ist|sein|wird|werden|war|waren|sein),menschen reicht es,advocative,people-centrism,working class is tired of  
arbeiterschaft (.* )?nicht (.* )?(länger|mehr) (hören|sehen) (will|kann|möchte(n)?|wollen|können),menschen reicht es,advocative,people-centrism,workers no longer want to hear  
arbeiterschaft (.* )?nicht ((länger|weiter|mehr) )?(gefallen|auf sich sitzen|bieten) (lassen|lässt),menschen wehren sich,advocative,people-centrism,workers do not want to be left  
arbeiterschaft setz(t|en) sich (.* )?zur wehr,menschen wehren sich,advocative,people-centrism,workers defend themselves  
arbeiterschaft sich (.* )?(wehr|widersetz|verteidig)(t|en),menschen wehren sich,advocative,people-centrism,workers resist  
arbeiterschaft steh(t|en) (.*) bis (hier|da)(hin)?,menschen reicht es,advocative,people-centrism,workers stand here
arbeiterschaft (.* )?versteh(t|en),common sense,advocative,people-centrism,working class understands  
arbeiterschaft (von|auf) der stra(ß|ss)e,normale menschen,advocative,people-centrism,working class from the street  
arbeiterschaft von nebenan,normale menschen,advocative,people-centrism,working class next door  
arbeiterschaft (wehr|widersetz|verteidig)(t|en) sich,menschen wehren sich,advocative,people-centrism,working class is resisting  
arbeiterschaft (.* )?wei(ß|ss),common sense,advocative,people-centrism,working class knows  
arbeiterschaft (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht),volkswille,advocative,sovereignty,workers' interests demand  
arbeiterschaft (wille|wunsch|wünsche|anliegen|ansuchen|verlangen),volkswille,advocative,sovereignty,workers' interests wish  
arbeiterschaft (will|kann|möchte(n)?|wollen|können) (.* )?nicht (.* )?(länger|mehr) (hören|sehen),menschen reicht es,advocative,people-centrism,workers' interests do not want to hear any longer  
arbeiterschaft (.* )?wissen,common sense,advocative,people-centrism,workers' interests want to know  
arbeiterschaft (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty,workers' interests want to demand  
arbeiterschaft (.* )?zu (bunt|blöd|dumm) (ist|sein|wird|werden|war|waren|sein),menschen reicht es,advocative,people-centrism,working class is colorful  
arbeiterschaft (.* )?zum hals(e)? (her|hin)aus häng(t|en),menschen reicht es,advocative,people-centrism,working class is foolish  
arbeiterschaft (.* )?zur wehr setz(t|en),menschen wehren sich,advocative,people-centrism,working class hangs out  
arbeiterschaft (.* )?zwangsbeglück(t|en),den menschen aufzwingen,conflictive,anti-elitism,working class defends itself  
arbeiter(s|innen|in)? (wille|wunsch|wünsche|anliegen|ansuchen|verlangen),volkswille,advocative,sovereignty,workers' wishes
arbeiter(s|n|innen|in)? (von|auf) der stra(ß|ss)e,normale menschen,advocative,people-centrism,worker on the street  
arbeiter(s|n|innen|in)? von nebenan,normale menschen,advocative,people-centrism,worker from next door  
arbeitnehmer(innen|in)? (.* )?(die nase|die schnauze|satt|genug|dicke)( .*)? (haben|hat),menschen reicht es,advocative,people-centrism,employees are fed up  
arbeitnehmer(innen|in)? (haben|hat) (.* )?(die nase|die schnauze|satt|genug|dicke),menschen reicht es,advocative,people-centrism,employees have had enough  
arbeitnehmer(innen|in)? (ist|sind|wird|werden|war|waren) (.* )?(leid|überdrüssig|müde|mit (ihrer|seiner) geduld am ende),menschen reicht es,advocative,people-centrism,employees are tired of
arbeitnehmer(innen|in)? (lassen|lässt) sich (.* )nicht ((länger|weiter|mehr) )?(gefallen|auf sich sitzen|bieten),menschen wehren sich,advocative,people-centrism,employees do not put up with  
arbeitnehmer(innen|in)? (.* )?(leid|überdrüssig|müde|mit (ihrer|seiner) geduld am ende) (ist|sein|wird|werden|war|waren|sein),menschen reicht es,advocative,people-centrism,employees are fed up  
arbeitnehmer(innen|in)? (.* )?nicht (.* )?(länger|mehr) (hören|sehen) (will|kann|möchte(n)?|wollen|können),menschen reicht es,advocative,people-centrism,employees do not want to hear  
arbeitnehmer(innen|in)? (.* )?nicht ((länger|weiter|mehr) )?(gefallen|auf sich sitzen|bieten) (lassen|lässt),menschen wehren sich,advocative,people-centrism,employees do not let themselves be taken advantage of  
arbeitnehmer(innen|in)? setz(t|en) sich (.* )?zur wehr,menschen wehren sich,advocative,people-centrism,employees defend themselves  
arbeitnehmer(innen|in)? sich (.* )?(wehr|widersetz|verteidig)(t|en),menschen wehren sich,advocative,people-centrism,employees defend themselves  
arbeitnehmer(innen|in)? (.* )?versteh(t|en),common sense,advocative,people-centrism,employees understand  
arbeitnehmer(innen|in)? (wehr|widersetz|verteidig)(t|en) sich,menschen wehren sich,advocative,people-centrism,employees defend themselves  
arbeitnehmer(innen|in)? (will|kann|möchte(n)?|wollen|können) (.* )?nicht (.* )?(länger|mehr) (hören|sehen),menschen reicht es,advocative,people-centrism,employees do not want to hear or see anymore  
arbeitnehmer(innen|in)? (.* )?zur wehr setz(t|en),menschen wehren sich,advocative,people-centrism,employees defend themselves
arbeitnehmer(innen|in)? (.* )?zwangsbeglück(t|en),den menschen aufzwingen,conflictive,anti-elitism,employee coercion  
arbeitnehmer(n|innen|in)? (.* )?aufbürde(t|n),den menschen aufzwingen,conflictive,anti-elitism,employee burdens  
arbeitnehmer(n|innen|in)? (.* )?auferleg(t|en),den menschen aufzwingen,conflictive,anti-elitism,employee imposition  
arbeitnehmer(n|innen|in)? (.* )?aufhals(t|en),den menschen aufzwingen,conflictive,anti-elitism,employee burden placing  
arbeitnehmer(n|innen|in)? (.* )?aufnötig(t|en),den menschen aufzwingen,conflictive,anti-elitism,employee necessity
arbeitnehmer(n|innen|in)? (.* )?(auf)?oktroyier(t|en),den menschen aufzwingen,conflictive,anti-elitism,employee imposed  
arbeitnehmer(n|innen|in)? (.* )?aufzwing(t|en),den menschen aufzwingen,conflictive,anti-elitism,employee enforced  
arbeitnehmer(n|innen|in)? (.* )?bis (hier|da)(hin)? steh(t|en),menschen reicht es,advocative,people-centrism,employee stands up to here  
arbeitnehmer(n|innen|in)? (.* )?diktier(t|en),den menschen aufzwingen,conflictive,anti-elitism,employee dictated  
arbeitnehmer(n|innen|in)? häng(t|en) (.* )?zum hals(e)? (her|hin)aus,menschen reicht es,advocative,people-centrism,employee hanging by the neck
arbeitnehmer(n|innen|in)? (ist|sind|wird|werden|war|waren) (.* )?zu (bunt|blöd|dumm),menschen reicht es,advocative,people-centrism,employee is too colorful stupid  
arbeitnehmer(n|innen|in)? (langt|reicht) (es|das|dies),menschen reicht es,advocative,people-centrism,employee is enough  
arbeitnehmer(n|innen|in)? steh(t|en) (.*) bis (hier|da)(hin)?,menschen reicht es,advocative,people-centrism,employee stands until here  
arbeitnehmer(n|innen|in)? (.* )?zu (bunt|blöd|dumm) (ist|sein|wird|werden|war|waren|sein),menschen reicht es,advocative,people-centrism,employee is too colorful stupid  
arbeitnehmer(n|innen|in)? (.* )?zum hals(e)? (her|hin)aus häng(t|en),menschen reicht es,advocative,people-centrism,employee is hanging out of the neck
arbeitnehmer(s|innen|in)? (wille|wunsch|wünsche|anliegen|ansuchen|verlangen),volkswille,advocative,sovereignty,employee's desire  
arbeitnehmer(s|n|innen|in)? (von|auf) der stra(ß|ss)e,normale menschen,advocative,people-centrism,employee's request from the street  
arbeitnehmer(s|n|innen|in)? von nebenan,normale menschen,advocative,people-centrism,employee next door  
ärger der allgemeinheit,ärger der menschen,conflictive,anti-elitism,public annoyance  
ärger der arbeiterschaft,ärger der menschen,conflictive,anti-elitism,worker's annoyance
ärger der bevölkerung,ärger der menschen,conflictive,anti-elitism,anger of the population  
ärger der frau(en)?,ärger der menschen,conflictive,anti-elitism,anger of the woman(s)?  
ärger der (frauen und männer|männer und frauen),ärger der menschen,conflictive,anti-elitism,anger of the (women and men|men and women)  
ärger der landsfrau(en)?,ärger der menschen,conflictive,anti-elitism,anger of the countrywoman(s)?  
ärger der landsleute,ärger der menschen,conflictive,anti-elitism,anger of the countrymen
ärger der leute,ärger der menschen,conflictive,anti-elitism,anger of the people  
ärger der masse(n)?,ärger der menschen,conflictive,anti-elitism,anger of the masses  
ärger der mehrheit,ärger der menschen,conflictive,anti-elitism,anger of the majority  
ärger der vielen,ärger der menschen,conflictive,anti-elitism,anger of many  
ärger der wählerschaft,ärger der menschen,conflictive,anti-elitism,anger of the electorate  
ärger de(s|r) angestellten,ärger der menschen,conflictive,anti-elitism,anger at the employees  
ärger de(s|r) arbeiter(s|innen|in)?,ärger der menschen,conflictive,anti-elitism,anger at the workers  
ärger de(s|r) arbeitnehmer(s|innen|in)?,ärger der menschen,conflictive,anti-elitism,anger at the employees  
ärger de(s|r) (be|ein)wohner(s|innen|in)?,ärger der menschen,conflictive,anti-elitism,anger at the residents  
ärger de(s|r) berufstätigen,ärger der menschen,conflictive,anti-elitism,anger at the workers
ärger de(s|r) beschäftigten,ärger der menschen,conflictive,anti-elitism,anger of the employees  
ärger de(s|r) büezer(s|innen|in)?,ärger der menschen,conflictive,anti-elitism,anger of the workers  
ärger de(s|r) bürger(s|innen|in)?,ärger der menschen,conflictive,anti-elitism,anger of the citizens  
ärger de(s|r) deutschen,ärger der menschen,conflictive,anti-elitism,anger of the Germans  
ärger de(s|r) eidgen(o|ö)ss(en|in|innen),ärger der menschen,conflictive,anti-elitism,anger of the Swiss   
ärger de(s|r) erwerbstätigen,ärger der menschen,conflictive,anti-elitism,anger of the employed  
ärger de(s|r) hackler(s|innen|in)?,ärger der menschen,conflictive,anti-elitism,anger of the hackers  
ärger de(s|r) konsument(en|innen|in)?,ärger der menschen,conflictive,anti-elitism,anger of the consumers  
ärger de(s|r) landsm(a|ä)nn(er|s|es),ärger der menschen,conflictive,anti-elitism,anger of the compatriots  
ärger de(s|r) lohnarbeiter(s|innen|in)?,ärger der menschen,conflictive,anti-elitism,anger of the wage workers  
ärger de(s|r) m(a|ä)nn(er|s|es),ärger der menschen,conflictive,anti-elitism,anger of the man  
ärger de(s|r) malocher(s|innen|in)?,ärger der menschen,conflictive,anti-elitism,anger of the workers?  
ärger de(s|r) menschen,ärger der menschen,conflictive,anti-elitism,anger of the people  
ärger de(s|r) mitbürger(s|innen|in)?,ärger der menschen,conflictive,anti-elitism,anger of the citizens?  
ärger de(s|r) österreicher(s|innen|in)?,ärger der menschen,conflictive,anti-elitism,anger of the Austrians?
ärger de(s|r) schweizer(s|innen|in)?,ärger der menschen,conflictive,anti-elitism,trouble of the Swiss  
ärger de(s|r) sterblichen,ärger der menschen,conflictive,anti-elitism,trouble of the mortals  
ärger de(s|r) steuerpflichtigen,ärger der menschen,conflictive,anti-elitism,trouble of the taxpayers  
ärger de(s|r) steuerzahler(s|innen|in)?,ärger der menschen,conflictive,anti-elitism,trouble of the voters
ärger de(s|r) urnengänger(s|innen|in)?,ärger der menschen,conflictive,anti-elitism,annoy the urn participants  
ärger de(s|r) verbraucher(s|innen|in)?,ärger der menschen,conflictive,anti-elitism,annoy the consumers  
ärger de(s|r) wahlberechtigten,ärger der menschen,conflictive,anti-elitism,annoy the eligible voters  
ärger de(s|r) wähler(s|innen|in)?,ärger der menschen,conflictive,anti-elitism,annoy the voters  
ärger de(s|r) werktätigen,ärger der menschen,conflictive,anti-elitism,annoy the workers  
ärger des volk(s|es),ärger der menschen,conflictive,anti-elitism,anger of the people  
ärger des wahlvolk(s|es),ärger der menschen,conflictive,anti-elitism,anger of the electorate  
arglistig(e|er|en) bürokratie,unaufrichtige eliten,conflictive,anti-elitism,malicious bureaucracy  
arglistig(e|er|en) (.*)elite(n)?,unaufrichtige eliten,conflictive,anti-elitism,malicious elite  
arglistig(e|er|en|em) bürokrat(en|in|innen)?,unaufrichtige eliten,conflictive,anti-elitism,malicious bureaucrat
arglistig(e|er|en|em) expert(e|en|in|innen),unaufrichtige eliten,conflictive,anti-elitism,deceptive expert  
arglistig(e|er|en|em) fachm(a|ä)nn(er|s|es|e|ern)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive specialist  
arglistig(e|er|en|em) forscher(s|n|innen|in)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive researcher  
arglistig(e|er|en|em) gelehrte(n|r)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive scholar  
arglistig(e|er|en|em) gro(ß|ss)unternehme(r|rs|rn|rin|rinnen|n)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive large company  
arglistig(e|er|en|em) herrschende(n|r)?,unaufrichtige eliten,conflictive,anti-elitism,deceitful ruling  
arglistig(e|er|en|em) intellektuelle(n|r)?,unaufrichtige eliten,conflictive,anti-elitism,deceitful intellectual  
arglistig(e|er|en|em) journalismus,unaufrichtige eliten,conflictive,anti-elitism,deceitful journalism  
arglistig(e|er|en|em) journalist(en|in|innen)?,unaufrichtige eliten,conflictive,anti-elitism,deceitful journalist  
arglistig(e|er|en|em) (.*)kapitalist(en|in|innen)?,unaufrichtige eliten,conflictive,anti-elitism,deceitful capitalist  
arglistig(e|er|en|em) (.*)konzern(e|es|s|en)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive corporations  
arglistig(e|er|en|em) leistungsträger(s|n|innen|in)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive stakeholders  
arglistig(e|er|en|em) medienvertreter(s|n|innen|in)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive media representatives  
arglistig(e|er|en|em) politiker(s|n|innen|in)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive politicians  
arglistig(e|er|en|em) regent(en|in|innen)?,unaufrichtige eliten,conflictive,anti-elitism,deceptive rulers
arglistig(e|er|en|em) regierende(n|r)?,unaufrichtige eliten,conflictive,anti-elitism,deceitful ruler  
arglistig(e|er|en|em) souverän(s)?,unaufrichtige eliten,conflictive,anti-elitism,deceitful sovereign  
arglistig(e|er|en|em) spezialist(en|in|innen)?,unaufrichtige eliten,conflictive,anti-elitism,deceitful specialist  
arglistig(e|er|en|em) wissenschaft(l)?er(s|n|innen|in)?,unaufrichtige eliten,conflictive,anti-elitism,deceitful scientist  
arglistig(e|er|en) fachfrau(en)?,unaufrichtige eliten,conflictive,anti-elitism,deceitful expert  
arglistig(e|er|en) fachleute(n)?,unaufrichtige eliten,conflictive,anti-elitism,deceitful experts  
arglistig(e|er|en) forschung,unaufrichtige eliten,conflictive,anti-elitism,deceitful research  
arglistig(e|er|en) (.*)medien,unaufrichtige eliten,conflictive,anti-elitism,deceitful media  
arglistig(e|er|en) multis,unaufrichtige eliten,conflictive,anti-elitism,deceitful multis  
arglistig(e|er|en) partei,unaufrichtige eliten,conflictive,anti-elitism,deceitful party  
arglistig(e|er|en) parteien,unaufrichtige eliten,conflictive,anti-elitism,fraudulent parties  
arglistig(e|er|en) regierung(en)?,unaufrichtige eliten,conflictive,anti-elitism,fraudulent government(s)  
arglistig(e|er|en) wirtschaft,unaufrichtige eliten,conflictive,anti-elitism,fraudulent economy  
arglistig(e|er|en) wissenschaft(en)?,unaufrichtige eliten,conflictive,anti-elitism,fraudulent science(s)  
arglistig(e|er|es|en|em) konglomerat(e|es|s|en)?,unaufrichtige eliten,conflictive,anti-elitism,fraudulent conglomerate(s)
arglistig(e|er|es|en|em) politiker(s|n|innen|in)?,unaufrichtige eliten,conflictive,anti-elitism,deceitful politicians  
arglistig(e|es|en|em) (.*)establishment(s)?,unaufrichtige eliten,conflictive,anti-elitism,deceitful establishment  
arglistig(e|es|en|em) system(s)?,unaufrichtige eliten,conflictive,anti-elitism,deceitful systems  
aristokrat(.*),zzz_none,conflictive,anti-elitism,aristocrat  
aristokratie,zzz_none,conflictive,anti-elitism,aristocracy  
arrogant(e|er|en) bürokratie,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant bureaucracy  
arrogant(e|er|en) (.*)elite(n)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant elite  
arrogant(e|er|en|em) bürokrat(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant bureaucrat  
arrogant(e|er|en|em) expert(e|en|in|innen),"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant expert  
arrogant(e|er|en|em) fachm(a|ä)nn(er|s|es|e|ern)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant specialist
arrogant(e|er|en|em) forscher(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant researcher  
arrogant(e|er|en|em) gelehrte(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant scholar  
arrogant(e|er|en|em) gro(ß|ss)unternehme(r|rs|rn|rin|rinnen|n)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant large corporation  
arrogant(e|er|en|em) herrschende(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant ruling  
arrogant(e|er|en|em) intellektuelle(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant intellectual  
arrogant(e|er|en|em) journalismus,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant journalism  
arrogant(e|er|en|em) journalist(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant journalist(s)?  
arrogant(e|er|en|em) (.*)kapitalist(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant capitalist(s)?  
arrogant(e|er|en|em) (.*)konzern(e|es|s|en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant corporation(s)?  
arrogant(e|er|en|em) leistungsträger(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant performer(s)?
arrogant(e|er|en|em) medienvertreter(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant media representatives  
arrogant(e|er|en|em) politiker(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant politicians  
arrogant(e|er|en|em) regent(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant rulers  
arrogant(e|er|en|em) regierende(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant governing  
arrogant(e|er|en|em) souverän(s)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant sovereign
arrogant(e|er|en|em) spezialist(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant specialist  
arrogant(e|er|en|em) wissenschaft(l)?er(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant scientist  
arrogant(e|er|en) fachfrau(en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant expert woman  
arrogant(e|er|en) fachleute(n)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant experts  
arrogant(e|er|en) forschung,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant research
arrogant(e|er|en) (.*)medien,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant media  
arrogant(e|er|en) multis,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant multis  
arrogant(e|er|en) partei,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant party  
arrogant(e|er|en) parteien,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant parties  
arrogant(e|er|en) regierung(en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant government
arrogant(e|er|en) wirtschaft,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant economy  
arrogant(e|er|en) wissenschaft(en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant science  
arrogant(e|er|es|en|em) konglomerat(e|es|s|en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant conglomerate  
arrogant(e|er|es|en|em) politiker(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant politician  
arrogant(e|es|en|em) (.*)establishment(s)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant establishment  
arrogant(e|es|en|em) system(s)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant system  
arschkriecher(.*),zzz_none,conflictive,anti-elitism,toady  
(auf)?bürden (.* )?fachleute,diktatorische eliten,conflictive,anti-elitism,impose experts  
(auf)?bürden (.*)medien,diktatorische eliten,conflictive,anti-elitism,impose media  
(auf)?bürden (.* )?multis,diktatorische eliten,conflictive,anti-elitism,impose multinationals  
(auf)?bürden (.* )?parteien,diktatorische eliten,conflictive,anti-elitism,impose parties  
(auf)?bürde(t|n) (.* )?bürokrat(en|in|innen)?,diktatorische eliten,conflictive,anti-elitism,burden bureaucracy  
(auf)?bürde(t|n) (.* )?bürokratie,diktatorische eliten,conflictive,anti-elitism,burden bureaucracy  
(auf)?bürde(t|n) (.*)elite(n)?,diktatorische eliten,conflictive,anti-elitism,burden elites  
(auf)?bürde(t|n) (.*)establishment,diktatorische eliten,conflictive,anti-elitism,burden establishment
(auf)?bürde(t|n) (.* )?expert(e|en|in|innen),diktatorische eliten,conflictive,anti-elitism,burden expert  
(auf)?bürde(t|n) (.* )?fachfrau(en)?,diktatorische eliten,conflictive,anti-elitism,burden specialist  
(auf)?bürde(t|n) (.* )?fachm(a|ä)nn(er)?,diktatorische eliten,conflictive,anti-elitism,burden male specialist  
(auf)?bürde(t|n) (.* )?forscher(innen|in)?,diktatorische eliten,conflictive,anti-elitism,burden researcher  
(auf)?bürde(t|n) (.* )?forschung,diktatorische eliten,conflictive,anti-elitism,burden research
(auf)?bürde(t|n) (.* )?gelehrte(n|r)?,diktatorische eliten,conflictive,anti-elitism,burdened scholars  
(auf)?bürde(t|n) (.* )?gro(ß|ss)unternehme(r|rin|rinnen|n)?,diktatorische eliten,conflictive,anti-elitism,burdened large companies  
(auf)?bürde(t|n) (.* )?herrschende(n|r)?,diktatorische eliten,conflictive,anti-elitism,burdened ruling figures  
(auf)?bürde(t|n) (.* )?intellektuelle(n|r)?,diktatorische eliten,conflictive,anti-elitism,burdened intellectuals  
(auf)?bürde(t|n) (.* )?journalismus,diktatorische eliten,conflictive,anti-elitism,burdened journalism  
(auf)?bürde(t|n) (.* )?journalist(en|in|innen)?,diktatorische eliten,conflictive,anti-elitism,burden journalist  
(auf)?bürde(t|n) (.*)kapitalist(en|in|innen)?,diktatorische eliten,conflictive,anti-elitism,burden capitalist  
(auf)?bürde(t|n) (.* )?konglomerat(e)?,diktatorische eliten,conflictive,anti-elitism,burden conglomerate  
(auf)?bürde(t|n) (.*)konzern(e)?,diktatorische eliten,conflictive,anti-elitism,burden corporation  
(auf)?bürde(t|n) (.* )?leistungsträger(innen|in)?,diktatorische eliten,conflictive,anti-elitism,burden performance carriers  
(auf)?bürde(t|n) (.* )?medienvertreter(innen|in)?,diktatorische eliten,conflictive,anti-elitism,burden media representatives  
(auf)?bürde(t|n) (.* )?partei,diktatorische eliten,conflictive,anti-elitism,burden party  
(auf)?bürde(t|n) (.* )?politiker(innen|in)?,diktatorische eliten,conflictive,anti-elitism,burden politicians  
(auf)?bürde(t|n) (.* )?regent(en|in|innen)?,diktatorische eliten,conflictive,anti-elitism,burden rulers  
